,city_id,city_name,hotel_id,hotel_name,hotel_url,hotel_score,hotel_text,lattitude,longitude
0,0,Mont Saint Michel,0,Les Terrasses Poulard,https://www.booking.com//hotel/fr/les-terrasses-poulard.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.3,"
Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. 
Très agréable et très aidant !!
",48.63534943,-1.51037872
1,0,Mont Saint Michel,1,Le Relais Saint Michel,https://www.booking.com//hotel/fr/le-relais-saint-michel.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.8,"
Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. 
Tout ! L hotel est tres  beau le personnel serviable et souriant..le cadre est magnifique - nous avions une suite avec un grand balcon donnant une vue magnifique sur Le Mont Saint Michel.
",48.61758727,-1.51039615
2,0,Mont Saint Michel,2,Hotel De La Digue,https://www.booking.com//hotel/fr/de-la-digue.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.1,"
L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. 
The breakfast  was great with bountiful fresh bread and venoisserie( pain au chocolat, pain au raisins, croissants) . We had a surprise of our room because it was so conducive, huge and very comfortable especially the big bed . We slept like babies . From the start , we had a great time as we were welcomed by a charming, friendly  staff with a lovely smile.
",48.61688155,-1.51091784
3,0,Mont Saint Michel,3,La Mère Poulard,https://www.booking.com//hotel/fr/la-mere-poulard.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.2,"
Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. 
Absolutely amazing location with Mont St-Michel. If you plan to visit this location and have the time, I would highly recommend staying overnight. You are able to get a completely different perspective during your visit by exploring the area by night when all of the guests have left. The staff were very friendly and it was a great memory of this amazing destination.
",48.63508532,-1.51053965
4,0,Mont Saint Michel,4,Hôtel Vert,https://www.booking.com//hotel/fr/vert.fr.html?sid=48b6b88c851159d155f50901d669cc1e,8.1,"
Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...
Très bon et chaleureux accueil. La proximité du site via les navettes.
",48.61470049,-1.50961697
5,0,Mont Saint Michel,5,Le Mouton Blanc,https://www.booking.com//hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.2,"
Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. 
Fantastic view from the window.
",48.63602298,-1.50989592
6,0,Mont Saint Michel,6,Mercure Mont Saint Michel,https://www.booking.com//hotel/fr/mont-saint-michel.fr.html?sid=48b6b88c851159d155f50901d669cc1e,8.2,"
Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...
everything was great. parking was possible right in front of the hotel. shuttle to Mont saint Michel was right across the street.
",48.61424653,-1.51054502
7,0,Mont Saint Michel,7,La Vieille Auberge,https://www.booking.com//hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.4,"
La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. 
L'emplacement de l'hébergement, le rapport qualité /prix
",48.63606300,-1.51145700
8,0,Mont Saint Michel,8,Le Saint Aubert,https://www.booking.com//hotel/fr/hotel-saint-aubert.fr.html?sid=48b6b88c851159d155f50901d669cc1e,7.3,"
Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. 
nous avons ete fortement surpris pour un simple 3 etoiles attribué a cet hotel , elle mérite certainement mieux 
c'est un endroit que je n'hesiterais pas a recommander a mes amis , famille et autres
",48.61293783,-1.51010513
9,0,Mont Saint Michel,9,Hotel Gabriel,https://www.booking.com//hotel/fr/hotel-gabriel.fr.html?sid=48b6b88c851159d155f50901d669cc1e,8.1,"
L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. 
Personnel très sympathique, déjeuner excellent.
",48.61538141,-1.51070997
10,1,St Malo,0,ibis budget Saint Malo Centre,https://www.booking.com//hotel/fr/etap-saint-malo-centre.fr.html?sid=19040e06c47be84d328007182d11f800,7.5,"
Situé à 25 minutes à pied de la plage de Saint-Malo et à 2,8 km du Grand aquarium, l'ibis budget Saint Malo Centre propose des chambres modernes avec une télévision par satellite à écran plat décorées...
Receptionist gave us tips about the walk to the walled city, also we are lucky to park right outside of the hotel free. Breakfast was good value.
",48.63827265,-2.00941622
11,1,St Malo,1,Kyriad Prestige Saint-Malo,https://www.booking.com//hotel/fr/kyriad-prestige-saint-malo-xml.fr.html?sid=19040e06c47be84d328007182d11f800,8.6,"
Situé à Saint-Malo, le Kyriad Prestige Saint-Malo se trouve à 10 km de Dinard et à 13 km de Cancale. Il possède une connexion Wi-Fi gratuite, une piscine intérieure et une salle de sport. 
Easy to find , ample free parking , friendly staff.
",48.63609920,-1.98920667
12,1,St Malo,2,Hotel De L'univers,https://www.booking.com//hotel/fr/de-l-univers.fr.html?sid=19040e06c47be84d328007182d11f800,8.1,"
L'Hotel De L'univers est installé dans la ville fortifiée de Saint-Malo, en Bretagne, à quelques pas du port ferry et de la gare. 
Personnel accueillant et souriant, bel hôtel, propreté impeccable, lit douillet et confortable, salles de petit-déjeuner superbes, situation géographique idéale
",48.65104101,-2.02372670
13,1,St Malo,3,B&B Hôtel Saint-Malo Centre,https://www.booking.com//hotel/fr/b-b-saint-malo.fr.html?sid=19040e06c47be84d328007182d11f800,7.3,"
Le B&B Hôtel Saint-Malo Centre est situé à Saint-Malo, à 2 km de la mer et à 2,4 km du grand aquarium. 
Ideal hotel for UK ferry crossing ,good room and good breakfast
",48.63682324,-1.99040147
14,1,St Malo,4,Hotel De La Cite,https://www.booking.com//hotel/fr/de-la-cite.fr.html?sid=19040e06c47be84d328007182d11f800,7.7,"
L'Hotel De La Cite se situe au cœur de Saint-Malo, à seulement 350 mètres du port de plaisance de la ville. Il propose une connexion Wi-Fi gratuite et des chambres donnant sur la mer. 
L’emplacement ! Attention proche du Pub Irlandais donc un peu d’ambiance le soir ☘️☘️☘️
",48.65130149,-2.02511072
15,1,St Malo,5,ibis Styles Saint Malo Port,https://www.booking.com//hotel/fr/ibis-styles-saint-malo-port.fr.html?sid=19040e06c47be84d328007182d11f800,8.0,"
Doté d'un snack-bar et d'une connexion Wi-Fi gratuite, l'établissement ibis Styles Saint Malo Port est situé à Saint-Malo, à moins de 10 minutes à pied des plages de sable, à 1 km de la gare ainsi...
Accueil chaleureux personnel excellent
",48.63962614,-2.01236531
16,1,St Malo,6,Escale Oceania Saint Malo,https://www.booking.com//hotel/fr/mascottesaintmalo.fr.html?sid=19040e06c47be84d328007182d11f800,8.2,"
L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. 
Super nice location! there is no need to stay in the center of Saint Malo, this hotel has a great location and you can reach center within few minutes. Very close to the beach. Free Parking mia availabe on the street ( during summer can be hard but possible). Great place for morning runners! 
Rooms super clean and they use Rituals´s cosmetics in each room. Great stuff!
",48.65428009,-2.00883776
17,1,St Malo,7,Oceania Saint Malo,https://www.booking.com//hotel/fr/oceaniasaintmalo.fr.html?sid=19040e06c47be84d328007182d11f800,8.5,"
Donnant sur la mer, l'Oceania Saint Malo se situe sur la Chaussée du Sillon, en face de la plage du même nom et à 450 mètres du port de plaisance de Saint-Malo. 
Hôtel récent situé au bord de l’eau avec une vue à couper le souffle proche des magasins et restaurants.
La prochaine que je reviendrai à Saint-Malo je retournerai dans cet hôtel
",48.65175689,-2.01843202
18,1,St Malo,8,ibis Styles Saint Malo Centre Historique,https://www.booking.com//hotel/fr/all-seasons-saint-malo-centre-historique.fr.html?sid=19040e06c47be84d328007182d11f800,7.9,"
L'ibis Styles Saint-Malo Centre Historique est situé au cœur des remparts historiques de Saint-Malo, à seulement 30 mètres de la plage du Sillon et 75 mètres du port de plaisance. 
Nous vous recommandons cette établissement les yeux fermés 
Nous avons adorés cette hôtel et surtout MERCI a toute l'équipe !
UN HOTEL A CHOISIR DANS LES MURS : C'est celui ci ! 
PS le parking pour une nuit juste derrière le mur que 17 Euros ! Ca va il y a pire ailleurs
",48.64865586,-2.02398688
19,1,St Malo,9,Golden Tulip Saint Malo– Le Grand Bé,https://www.booking.com//hotel/fr/golden-tulip-saint-malo.fr.html?sid=19040e06c47be84d328007182d11f800,9.0,"
Le Golden Tulip Saint Malo– Le Grand Bé est situé au sein des remparts de Saint-Malo, à 5 minutes à pied du port. 
Amazing hotel! Beautifully decorated! Friendly and professional staff! The suite was very nice and spacious. Loved the terrace with the fat boy pillows to relax
",48.64956907,-2.02686496
20,2,Bayeux,0,ibis budget Bayeux,https://www.booking.com//hotel/fr/etap-bayeux.fr.html?sid=1b2c94ad32212e1c99ff9e17c3d0ab35,8.2,"
L’ibis budget Bayeux vous accueille entre Caen et Cherbourg, à proximité de la sortie 36 de la route N13 et à seulement 13 km des plages du débarquement. 
It's the first time I've stayed at an Ibis property . This Bayeux Ibis is sparkling clean and the room was a comfortable size . It's a great value for the relatively low price . I'd recommend Ibis to anyone based on my first experience with them .
",49.25424209,-0.64648747
21,2,Bayeux,1,Premiere Classe Bayeux,https://www.booking.com//hotel/fr/premiere-classe-bayeux.fr.html?sid=1b2c94ad32212e1c99ff9e17c3d0ab35,7.7,"
Cet hôtel Première Classe se trouve à seulement 5 minutes en voiture de l'autoroute N13, à la périphérie de Bayeux. 
Excellent breakfast nice comfortable room, very polite and helpful staff.
",49.26942872,-0.70668697
22,2,Bayeux,2,Château de Bellefontaine,https://www.booking.com//hotel/fr/chateau-de-bellefontaine.fr.html?sid=1b2c94ad32212e1c99ff9e17c3d0ab35,8.2,"
À 800 mètres du centre de Bayeux et de sa cathédrale, l'établissement Château de Bellefontaine est un manoir du XVIIIe siècle proposant des chambres et un restaurant traditionnel ouvert pour le dîner...
Séjour fantastique plongé dans la nature! Petit déjeneur super et personnel très accueillant. Excellent rapport qualité/prix.
",49.26974024,-0.68883955
23,2,Bayeux,3,Campanile Bayeux,https://www.booking.com//hotel/fr/campanile-bayeux.fr.html?sid=1b2c94ad32212e1c99ff9e17c3d0ab35,7.6,"
Situé dans un quartier paisible à l'extérieur du centre de Bayeux, le charmant Campanile Bayeux propose des chambres avec salle de bains privative et connexion Wi-Fi gratuite. 
Accueil, propreté, gentillesse, restaurant de qualité, chambres très propres, les demandes particulières sont réalisées, parking aisé, accès routier facile ...
",49.26999926,-0.70694983
